project,date,tag,num_source,num_dirs,num_files
dnsmasq,2013-09-04,v2.67test10,29,30,142
dnsmasq,2013-07-26,v2.67test9,29,30,142
dnsmasq,2013-07-26,v2.67test8,29,30,142
dnsmasq,2013-05-31,v2.67test7,29,30,142
dnsmasq,2013-05-29,v2.67test6,29,30,142
dnsmasq,2013-05-20,v2.67test5,29,30,142
dnsmasq,2013-05-14,v2.67test4,29,30,142
dnsmasq,2013-04-24,v2.67test3,29,30,142
dnsmasq,2013-04-22,v2.67test2,28,30,141
dnsmasq,2013-04-19,v2.67test1,28,30,141
dnsmasq,2013-04-17,v2.66,28,30,141
dnsmasq,2013-04-10,v2.66rc5,28,30,141
dnsmasq,2013-04-02,v2.66rc4,28,30,141
dnsmasq,2013-03-30,v2.66rc3,28,30,141
dnsmasq,2013-03-22,v2.66rc2,28,30,141
dnsmasq,2013-03-21,v2.66rc1,28,30,141
dnsmasq,2013-03-19,v2.66test23,28,30,141
dnsmasq,2013-03-15,v2.66test22,28,30,141
dnsmasq,2013-03-07,v2.66test21,28,30,141
dnsmasq,2013-03-06,v2.66test20,28,30,141
dnsmasq,2013-03-06,v2.66test19,28,30,141
dnsmasq,2013-03-06,v2.66test18,28,30,141
dnsmasq,2013-03-06,v2.66test17,28,30,141
dnsmasq,2013-02-19,v2.66test16,27,30,140
dnsmasq,2013-02-18,v2.66test15,27,30,140
dnsmasq,2013-02-17,v2.66test14,27,30,140
dnsmasq,2013-01-29,v2.66test13,27,30,140
dnsmasq,2013-01-22,v2.66test12,27,30,140
dnsmasq,2013-01-17,v2.66test11,27,30,140
dnsmasq,2013-01-15,v2.66test10,27,30,140
dnsmasq,2013-01-14,v2.66test9,27,30,140
dnsmasq,2013-01-10,v2.66test8,27,30,140
dnsmasq,2013-01-09,v2.66test7,27,30,140
dnsmasq,2013-01-07,v2.66test6,27,30,140
dnsmasq,2013-01-02,v2.66test5,27,30,140
dnsmasq,2012-12-28,v2.66test4,27,30,140
dnsmasq,2012-12-21,v2.66test3,27,30,140
dnsmasq,2012-12-18,v2.66test2,27,30,140
dnsmasq,2012-12-14,v2.66test1,27,30,140
dnsmasq,2012-12-14,v2.65,26,30,138
dnsmasq,2012-12-10,v2.65test4,27,30,140
dnsmasq,2012-12-09,v2.65test3,27,30,139
dnsmasq,2012-12-07,v2.65test2,27,30,139
dnsmasq,2012-12-04,v2.65test1,27,30,139
dnsmasq,2012-12-03,v2.64,26,30,138
dnsmasq,2012-12-01,v2.64rc2,26,30,138
dnsmasq,2012-11-14,v2.64rc1,26,30,138
dnsmasq,2012-10-23,v2.64test7,26,30,138
dnsmasq,2012-09-27,v2.64test6,25,29,137
dnsmasq,2012-09-24,v2.64test5,25,29,137
dnsmasq,2012-09-08,v2.64test4,25,29,137
dnsmasq,2012-09-05,v2.64test3,25,29,137
dnsmasq,2012-08-30,v2.64test2,25,29,137
dnsmasq,2012-08-29,v2.64test1,25,29,137
dnsmasq,2012-08-16,v2.63,25,29,135
dnsmasq,2012-08-12,v2.63rc5,25,29,135
dnsmasq,2012-08-10,v2.63rc4,25,29,135
dnsmasq,2012-08-09,v2.63rc3,25,29,135
dnsmasq,2012-08-06,v2.63rc2,25,29,135
dnsmasq,2012-07-29,v2.63rc1,25,29,134
dnsmasq,2012-07-16,v2.63test3,25,29,134
dnsmasq,2012-06-26,v2.63test2,25,29,134
dnsmasq,2012-06-20,v2.63test1,25,29,134
dnsmasq,2012-06-04,v2.62,25,29,134
dnsmasq,2012-06-04,v2.62rc3,25,29,133
dnsmasq,2012-05-29,v2.62rc2,25,29,133
dnsmasq,2012-05-28,v2.62rc1,25,29,133
dnsmasq,2012-05-21,v2.62test4,25,29,133
dnsmasq,2012-05-21,v2.62test3,25,29,133
dnsmasq,2012-05-18,v2.62test2,25,29,133
dnsmasq,2012-05-12,v2.62test1,25,29,133
dnsmasq,2012-04-28,v2.61,25,29,133
dnsmasq,2012-04-27,v2.61rc4,25,29,133
dnsmasq,2012-04-20,v2.61rc3,25,29,133
dnsmasq,2012-04-16,v2.61rc2,25,29,133
dnsmasq,2012-04-05,v2.61rc1,25,29,133
dnsmasq,2012-04-04,v2.61test11,25,29,133
dnsmasq,2012-03-31,v2.61test10,25,29,133
dnsmasq,2012-03-28,v2.61test9,25,29,133
dnsmasq,2012-03-25,v2.61test8,25,29,133
dnsmasq,2012-03-20,v2.61test7,25,29,133
dnsmasq,2012-03-19,v2.61test6,25,29,133
dnsmasq,2012-03-16,v2.61test5,24,29,132
dnsmasq,2012-03-12,v2.61test4,24,29,132
dnsmasq,2012-03-10,v2.61test3,24,29,132
dnsmasq,2012-03-10,v2.61test2,24,29,132
dnsmasq,2012-03-04,v2.60,24,29,132
dnsmasq,2012-03-01,v2.60rc5,24,29,132
dnsmasq,2012-02-29,v2.60rc4,24,29,132
dnsmasq,2012-02-29,v2.60rc3,24,29,132
dnsmasq,2012-02-29,v2.60rc2,24,29,132
dnsmasq,2012-02-28,v2.60rc1,24,29,132
dnsmasq,2012-02-27,v2.60test18,24,29,132
dnsmasq,2012-02-26,v2.60test17,24,29,132
dnsmasq,2012-02-24,v2.60test16,24,29,132
dnsmasq,2012-02-24,v2.60test15,24,29,132
dnsmasq,2012-02-24,v2.60test14,24,29,132
dnsmasq,2012-02-18,v2.60test13,22,29,129
dnsmasq,2012-02-16,v2.60test12,22,29,129
dnsmasq,2012-02-14,v2.60test11,22,29,129
