9.8M,memcached,C
 11M,flask,Python
 16M,dnsmasq,C
 17M,iproute2,C
 18M,requests,Python
 30M,openssh-portable,C
 35M,pyramid,Python
 58M,coreutils,C
 58M,dhcp,C
 65M,nginx,C
 97M,sqlalchemy,Python
112M,redis,C
198M,cpython,C
223M,sqlite,C
247M,bash,C
274M,django,Python
526M,node,Javascript
557M,postgres,C
812M,mongo,C
3.0G,mysql-server,C
